id,trial,session,stim_type,correct_resp,resp,rt,correct
11,37,2,0,0,0,5.52,1
11,38,2,1,0,1,4.19,0
11,39,2,0,0,0,5.44,1
11,40,2,1,0,1,4.65,0
11,41,2,0,1,0,5.16,0
11,42,2,0,0,1,9.04,0
11,43,2,0,1,1,4.4,1
11,44,2,1,0,1,3.66,0
11,45,2,0,1,1,4.2,1
11,46,2,0,0,0,4.51,1
11,47,2,0,1,1,4.29,1
11,48,2,0,1,0,4.07,0
11,49,2,0,1,0,3.85,0
11,50,2,0,0,0,7.28,1
11,51,2,1,0,1,3.65,0
11,52,2,1,0,1,3.38,0
11,53,2,0,1,1,6.81,1
11,54,2,0,0,1,4.08,0
11,55,2,1,1,0,2.99,0
11,56,2,0,1,1,3.78,1
11,57,2,1,1,1,4.35,1
11,58,2,0,0,1,6.54,0
11,59,2,1,0,0,3.27,1
11,60,2,1,0,0,2.8,1
12,1,2,0,0,1,5.31,0
12,2,2,0,1,1,6.78,1
12,3,2,1,1,0,8.16,0
12,4,2,1,1,1,4.22,1
12,5,2,1,0,0,3.8,1
12,6,2,1,1,1,4.68,1
12,7,2,0,0,1,5.83,0
12,8,2,0,1,0,3.85,0
12,9,2,1,1,1,5.98,1
12,10,2,1,0,1,4.98,0
12,11,2,1,0,0,3.95,1
12,12,2,0,1,1,5.33,1
12,13,2,0,0,1,5.19,0
12,14,2,1,1,0,3.72,0
12,16,2,1,0,1,7.49,0
12,17,2,0,1,1,9.07,1
12,18,2,0,0,0,7.05,1
12,19,2,0,1,1,3.33,1
12,21,2,1,0,0,6.43,1
12,22,2,0,1,0,9.4,0
12,23,2,1,0,1,6.63,0
12,24,2,1,0,1,8.18,0
12,25,2,0,0,1,9.83,0
12,26,2,1,1,1,3.45,1
12,28,2,0,0,1,5.23,0
12,29,2,0,0,0,4.45,1
12,30,2,0,1,1,5.72,1
12,31,2,0,1,0,4.73,0
12,32,2,0,0,0,9.5,1
12,33,2,0,1,0,7.57,0
12,35,2,1,0,1,3.89,0
12,36,2,0,1,1,4.8,1
12,37,2,0,0,1,5.82,0
12,38,2,1,0,1,3.47,0
12,40,2,1,0,0,3.8,1
12,41,2,1,0,1,7.46,0
12,42,2,0,0,1,4.62,0
12,43,2,1,1,1,6.03,1
12,44,2,0,0,0,3.4,1
12,45,2,1,0,0,6.1,1
12,46,2,1,1,1,2.73,1
12,47,2,1,0,1,4.37,0
12,48,2,0,1,0,6.25,0
12,50,2,1,0,1,4.13,0
12,51,2,0,1,0,9.76,0
12,53,2,1,1,0,8.61,0
12,54,2,0,0,0,8.03,1
12,55,2,0,0,1,7.55,0
12,56,2,1,1,1,4.73,1
12,57,2,0,1,0,3.79,0
12,58,2,0,0,0,5.22,1
12,59,2,0,1,0,3.32,0
12,60,2,1,1,0,4.91,0
13,1,2,1,0,1,2.52,0
13,2,2,1,1,1,3.11,1
13,3,2,0,1,0,4.37,0
13,4,2,1,0,1,2.78,0
13,5,2,0,0,0,4.7,1
13,6,2,1,1,1,2.89,1
13,7,2,0,1,1,4.16,1
13,8,2,0,0,1,5.03,0
13,9,2,1,1,1,5.52,1
13,10,2,1,0,0,3.08,1
13,11,2,0,1,1,5.24,1
13,12,2,1,0,1,3.36,0
13,13,2,0,1,0,4.36,0
13,14,2,0,0,0,4.9,1
13,15,2,0,0,1,5.12,0
13,16,2,1,0,1,3.65,0
13,17,2,1,1,0,3.92,0
13,18,2,0,0,0,6.98,1
13,19,2,1,0,0,4.44,1
13,20,2,1,0,1,2.51,0
13,21,2,0,1,1,4.25,1
13,22,2,1,0,0,2.99,1
13,23,2,0,0,1,2.86,0
13,24,2,0,0,0,4.08,1
13,25,2,1,0,1,3.02,0
13,26,2,1,0,1,3.16,0
13,27,2,0,0,0,3.24,1
13,28,2,0,0,1,4.92,0
13,29,2,0,0,1,3.37,0
13,30,2,1,0,1,4.02,0
13,31,2,0,1,0,5.09,0
13,32,2,1,0,1,3.84,0
13,33,2,0,1,1,7.66,1
13,35,2,0,0,0,4.52,1
13,36,2,1,1,1,5.81,1
13,37,2,0,1,0,4.07,0
13,38,2,0,0,1,5.67,0
13,39,2,1,1,0,3.48,0
13,40,2,1,1,1,4.89,1
13,41,2,0,1,1,4.67,1
13,42,2,0,1,1,5.39,1
13,43,2,0,0,0,3.88,1
13,44,2,1,1,1,2.93,1
13,45,2,0,0,1,4.69,0
13,46,2,1,0,1,3.1,0
13,47,2,0,0,1,3.1,0
13,48,2,1,1,1,2.83,1
13,49,2,1,1,0,4.33,0
13,50,2,1,1,0,5.58,0
13,51,2,1,1,1,3.91,1
13,52,2,1,0,1,5.38,0
13,53,2,1,0,0,7.32,1
13,54,2,0,1,1,3.12,1
13,55,2,0,1,1,4.82,1
13,56,2,1,1,0,4.34,0
13,57,2,1,1,1,3.61,1
13,58,2,0,1,0,5.12,0
13,59,2,1,1,1,3.96,1
13,60,2,0,1,0,5.17,0
14,1,2,0,1,1,3.07,1
14,2,2,1,0,1,2.05,0
14,3,2,1,0,1,4.62,0
14,4,2,1,1,1,5.8,1
14,5,2,1,0,1,3.53,0
14,6,2,0,0,0,4.26,1
14,7,2,1,1,1,6.16,1
14,8,2,0,0,0,5.35,1
14,9,2,1,1,0,4.57,0
14,10,2,1,0,1,7.19,0
14,11,2,1,0,0,6,1
14,12,2,0,0,1,5.04,0
14,13,2,0,1,1,2.72,1
14,14,2,0,1,1,3.75,1
14,15,2,1,1,1,2.1,1
14,16,2,1,0,1,3.67,0
14,17,2,0,0,1,3.17,0
14,18,2,1,1,0,5.52,0
14,19,2,0,0,1,5.6,0
