id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
6,48,1,1,1,0,4.41,0,2
6,49,1,1,1,0,2.34,0,2
6,50,1,0,0,1,8.19,0,3
6,51,1,0,0,1,4.79,0,3
6,52,1,0,0,1,6.72,0,3
6,53,1,1,0,1,4.02,0,4
6,55,1,0,0,1,3.47,0,3
6,56,1,0,1,0,7.02,0,1
6,57,1,1,0,1,3.63,0,4
6,58,1,0,0,1,3.93,0,3
6,59,1,1,1,1,3.04,1,2
6,60,1,1,0,1,6.96,0,4
7,1,1,0,0,0,2.18,1,3
7,3,1,0,1,1,3.57,1,1
7,4,1,1,0,0,2.66,1,4
7,5,1,0,1,0,3.02,0,1
7,6,1,0,0,0,3.57,1,3
7,7,1,0,1,1,3.33,1,1
7,8,1,1,0,0,3.56,1,4
7,9,1,0,1,1,2.68,1,1
7,10,1,1,1,1,2.83,1,2
7,11,1,0,1,0,4.63,0,1
7,12,1,0,1,1,3.63,1,1
7,13,1,0,0,1,3.72,0,3
7,14,1,1,1,0,3.26,0,2
7,15,1,1,1,0,5.75,0,2
7,16,1,1,1,1,4.85,1,2
7,17,1,0,0,0,3.65,1,3
7,18,1,1,0,0,2.57,1,4
7,19,1,0,0,0,2.42,1,3
7,20,1,1,0,1,3.15,0,4
7,21,1,0,1,0,4.98,0,1
7,22,1,1,1,1,4.73,1,2
7,23,1,1,1,1,2.9,1,2
7,24,1,1,0,0,3.5,1,4
7,25,1,1,1,1,4.05,1,2
7,26,1,1,0,1,5.08,0,4
7,27,1,1,1,1,4.95,1,2
7,28,1,0,0,0,4.23,1,3
7,29,1,0,0,1,3.15,0,3
7,30,1,0,0,0,5.59,1,3
7,31,1,0,0,0,3.65,1,3
7,32,1,1,0,0,2.88,1,4
7,33,1,1,0,1,5.23,0,4
7,34,1,0,1,1,3.4,1,1
7,35,1,0,0,1,4.38,0,3
7,36,1,1,0,1,3.38,0,4
7,37,1,1,1,1,3.69,1,2
7,38,1,0,0,1,4.33,0,3
7,39,1,0,1,1,3.29,1,1
7,40,1,1,0,1,4.07,0,4
7,41,1,0,1,0,3.41,0,1
7,42,1,1,0,0,3.96,1,4
7,43,1,1,1,1,2.51,1,2
7,44,1,1,0,0,3.96,1,4
7,45,1,1,1,0,2.73,0,2
7,46,1,1,1,0,4.99,0,2
7,47,1,1,0,1,4.22,0,4
7,48,1,1,1,1,2.37,1,2
7,49,1,0,1,1,3.33,1,1
7,50,1,0,0,1,2.65,0,3
7,51,1,0,0,0,2.76,1,3
7,52,1,0,1,0,3.23,0,1
7,53,1,0,1,1,3.47,1,1
7,54,1,1,0,1,2.67,0,4
7,55,1,1,0,1,3.1,0,4
7,56,1,1,1,1,3.62,1,2
7,57,1,0,1,1,2.63,1,1
7,58,1,1,1,1,2.43,1,2
7,59,1,0,0,1,4.3,0,3
7,60,1,0,0,0,3.72,1,3
8,1,1,0,1,1,2.56,1,1
8,2,1,0,0,0,2.89,1,3
8,3,1,1,0,1,2.37,0,4
8,4,1,0,0,1,1.6,0,3
8,5,1,1,0,1,3.7,0,4
8,6,1,1,1,1,1.58,1,2
8,7,1,0,0,0,2.87,1,3
8,8,1,1,1,1,1.54,1,2
8,9,1,1,0,1,2.42,0,4
8,10,1,0,1,1,2.67,1,1
8,11,1,1,1,1,1.87,1,2
8,12,1,0,1,1,1.57,1,1
8,13,1,1,0,1,1.63,0,4
8,14,1,0,0,1,1.97,0,3
8,15,1,0,0,1,2.32,0,3
8,17,1,1,0,1,2.17,0,4
8,18,1,1,1,1,3.51,1,2
8,19,1,0,0,1,4.62,0,3
8,20,1,0,1,1,2.25,1,1
8,21,1,0,1,1,1.56,1,1
8,22,1,1,0,1,2.52,0,4
8,23,1,0,0,1,3.13,0,3
8,24,1,1,0,1,1.67,0,4
8,25,1,1,1,1,1.88,1,2
8,26,1,1,1,1,2.77,1,2
8,27,1,1,1,1,4.03,1,2
8,28,1,0,1,1,2.3,1,1
8,29,1,0,1,0,2.49,0,1
8,30,1,1,0,1,1.69,0,4
8,31,1,0,1,1,4.51,1,1
8,32,1,0,0,1,2.63,0,3
8,33,1,1,1,1,2.48,1,2
8,34,1,0,1,1,2.05,1,1
8,35,1,1,1,1,1.55,1,2
8,36,1,1,1,0,3.3,0,2
8,37,1,1,0,1,4.79,0,4
8,38,1,1,0,0,3.57,1,4
8,39,1,0,1,1,1.48,1,1
8,40,1,0,0,0,3,1,3
8,41,1,0,0,1,2.59,0,3
8,42,1,1,1,1,2.65,1,2
8,43,1,0,0,1,3.22,0,3
8,44,1,1,0,1,4.01,0,4
8,45,1,1,0,0,4.06,1,4
8,46,1,0,0,1,3.99,0,3
8,47,1,1,1,0,6.59,0,2
8,48,1,1,0,1,2.04,0,4
8,49,1,1,0,1,2.49,0,4
8,50,1,0,1,0,4.24,0,1
8,51,1,1,1,1,2.1,1,2
8,52,1,0,1,1,4.33,1,1
8,53,1,0,1,1,2.61,1,1
8,54,1,1,1,0,2.13,0,2
8,55,1,0,1,0,3.18,0,1
8,56,1,0,0,1,1.73,0,3
8,57,1,0,0,1,1.77,0,3
8,58,1,1,1,1,1.51,1,2
8,59,1,0,0,1,2.76,0,3
8,60,1,0,1,0,2.58,0,1
9,1,1,0,0,0,3.45,1,3
